codeword,base_2,base_10
775,0101000011100,2588
776,0011100010001,1809
777,1000100011100,4380
778,0011100010010,1810
779,0100100011100,2332
780,0011100100001,1825
781,1000010011100,4252
782,0011100100010,1826
783,0100010011100,2204
784,0011101000001,1857
785,1000001011100,4188
786,0011101000010,1858
787,0100001011100,2140
788,0011110000001,1921
789,1000000111100,4156
790,0011110000010,1922
791,0100000111100,2108
792,0100000001111,2063
793,1111000000010,7682
794,0100000010111,2071
795,1110100000010,7426
796,0100000011011,2075
797,1101100000010,6914
798,0100000011101,2077
799,1011100000010,5890
800,0100000011110,2078
801,0111100000010,3842
802,0100000100111,2087
803,1110010000010,7298
804,0100000101011,2091
805,1101010000010,6786
806,0100000101101,2093
807,1011010000010,5762
808,0100000101110,2094
809,0111010000010,3714
810,0100000110011,2099
811,1100110000010,6530
812,0100000110101,2101
813,1010110000010,5506
814,0100000110110,2102
815,0110110000010,3458
816,0100000111001,2105
817,1001110000010,4994
818,0100000111010,2106
819,0101110000010,2946
820,0100001000111,2119
821,1110001000010,7234
822,0100001001011,2123
823,1101001000010,6722
824,0100001001101,2125
825,1011001000010,5698
826,0100001001110,2126
827,0111001000010,3650
828,0100001010011,2131
829,1100101000010,6466
830,0100001010101,2133
831,1010101000010,5442
832,0100001010110,2134
833,0110101000010,3394
834,0100001011001,2137
835,1001101000010,4930
836,0100001011010,2138
837,0101101000010,2882
838,0100001100011,2147
839,1100011000010,6338
840,0100001100101,2149
841,1010011000010,5314
842,0100001100110,2150
843,0110011000010,3266
844,0100001101001,2153
845,1001011000010,4802
846,0100001101010,2154
847,0101011000010,2754
848,0100001110001,2161
849,1000111000010,4546
850,0100001110010,2162
851,0100111000010,2498
852,0100010000111,2183
853,1110000100010,7202
854,0100010001011,2187
855,1101000100010,6690
856,0100010001101,2189
857,1011000100010,5666
858,0100010001110,2190
859,0111000100010,3618
860,0100010010011,2195
861,1100100100010,6434
862,0100010010101,2197
863,1010100100010,5410
864,0100010010110,2198
865,0110100100010,3362
866,0100010011001,2201
867,1001100100010,4898
868,0100010011010,2202
869,0101100100010,2850
870,0100010100011,2211
871,1100010100010,6306
872,0100010100101,2213
873,1010010100010,5282
874,0100010100110,2214
875,0110010100010,3234
876,0100010101001,2217
877,1001010100010,4770
878,0100010101010,2218
879,0101010100010,2722
880,0100010110001,2225
881,1000110100010,4514
882,0100010110010,2226
883,0100110100010,2466
884,0100011000011,2243
885,1100001100010,6242
886,0100011000101,2245
887,1010001100010,5218
888,0100011000110,2246
889,0110001100010,3170
890,0100011001001,2249
891,1001001100010,4706
892,0100011001010,2250
893,0101001100010,2658
894,0100011010001,2257
895,1000101100010,4450
896,0100011010010,2258
897,0100101100010,2402
898,0100011100001,2273
899,1000011100010,4322
900,0100100000111,2311
901,1110000010010,7186
902,0100100001011,2315
903,1101000010010,6674
904,0100100001101,2317
905,1011000010010,5650
906,0100100001110,2318
907,0111000010010,3602
908,0100100010011,2323
909,1100100010010,6418
910,0100100010101,2325
911,1010100010010,5394
912,0100100010110,2326
913,0110100010010,3346
914,0100100011001,2329
915,1001100010010,4882
916,0100100011010,2330
917,0101100010010,2834
918,0100100100011,2339
919,1100010010010,6290
920,0100100100101,2341
921,1010010010010,5266
922,0100100100110,2342
923,0110010010010,3218
924,0100100101001,2345
925,1001010010010,4754
926,0100100101010,2346
927,0101010010010,2706
928,0100100110001,2353
929,1000110010010,4498
930,0100100110010,2354
931,0100110010010,2450
932,0100101000011,2371
933,1100001010010,6226
934,0100101000101,2373
935,1010001010010,5202
936,0100101000110,2374
937,0110001010010,3154
938,0100101001001,2377
939,1001001010010,4690
940,0100101001010,2378
941,0101001010010,2642
942,0100101010001,2385
943,1000101010010,4434
944,0100101100001,2401
945,1000011010010,4306
946,0100110000011,2435
947,1100000110010,6194
948,0100110000101,2437
949,1010000110010,5170
950,0100110000110,2438
951,0110000110010,3122
952,0100110001001,2441
953,1001000110010,4658
954,0100110001010,2442
955,0101000110010,2610
956,0100110010001,2449
957,1000100110010,4402
958,0100110100001,2465
959,1000010110010,4274
960,0100111000001,2497
961,1000001110010,4210
962,0101000000111,2567
963,1110000001010,7178
964,0101000001011,2571
965,1101000001010,6666
966,0101000001101,2573
967,1011000001010,5642
968,0101000001110,2574
969,0111000001010,3594
970,0101000010011,2579
971,1100100001010,6410
972,0101000010101,2581
973,1010100001010,5386
974,0101000010110,2582
975,0110100001010,3338
976,0101000011001,2585
977,1001100001010,4874
978,0101000011010,2586
979,0101100001010,2826
980,0101000100011,2595
981,1100010001010,6282
982,0101000100101,2597
983,1010010001010,5258
984,0101000100110,2598
985,0110010001010,3210
986,0101000101001,2601
987,1001010001010,4746
988,0101000101010,2602
989,0101010001010,2698
990,0101000110001,2609
991,1000110001010,4490
992,0101001000011,2627
993,1100001001010,6218
994,0101001000101,2629
995,1010001001010,5194
996,0101001000110,2630
997,0110001001010,3146
998,0101001001001,2633
999,1001001001010,4682
1000,0101001010001,2641
1001,1000101001010,4426
1002,0101001100001,2657
1003,1000011001010,4298
1004,0101010000011,2691
1005,1100000101010,6186
1006,0101010000101,2693
1007,1010000101010,5162
1008,0101010000110,2694
1009,0110000101010,3114
1010,0101010001001,2697
1011,1001000101010,4650
1012,0101010010001,2705
1013,1000100101010,4394
1014,0101010100001,2721
1015,1000010101010,4266
1016,0101011000001,2753
1017,1000001101010,4202
1018,0101100000011,2819
1019,1100000011010,6170
1020,0101100000101,2821
1021,1010000011010,5146
1022,0101100000110,2822
1023,0110000011010,3098
1024,0101100001001,2825
1025,1001000011010,4634
1026,0101100010001,2833
1027,1000100011010,4378
1028,0101100100001,2849
1029,1000010011010,4250
1030,0101101000001,2881
1031,1000001011010,4186
1032,0101110000001,2945
1033,1000000111010,4154
1034,0110000000111,3079
1035,1110000000110,7174
1036,0110000001011,3083
1037,1101000000110,6662
1038,0110000001101,3085
1039,1011000000110,5638
1040,0110000001110,3086
1041,0111000000110,3590
1042,0110000010011,3091
1043,1100100000110,6406
1044,0110000010101,3093
1045,1010100000110,5382
1046,0110000010110,3094
1047,0110100000110,3334
1048,0110000011001,3097
1049,1001100000110,4870
1050,0110000100011,3107
1051,1100010000110,6278
1052,0110000100101,3109
1053,1010010000110,5254
1054,0110000100110,3110
1055,0110010000110,3206
1056,0110000101001,3113
1057,1001010000110,4742
1058,0110000110001,3121
1059,1000110000110,4486
1060,0110001000011,3139
1061,1100001000110,6214
1062,0110001000101,3141
1063,1010001000110,5190
1064,0110001001001,3145
1065,1001001000110,4678
1066,0110001010001,3153
1067,1000101000110,4422
1068,0110001100001,3169
1069,1000011000110,4294
1070,0110010000011,3203
1071,1100000100110,6182
1072,0110010000101,3205
1073,1010000100110,5158
1074,0110010001001,3209
1075,1001000100110,4646
1076,0110010010001,3217
1077,1000100100110,4390
1078,0110010100001,3233
1079,1000010100110,4262
1080,0110011000001,3265
1081,1000001100110,4198
1082,0110100000011,3331
1083,1100000010110,6166
1084,0110100000101,3333
1085,1010000010110,5142
1086,0110100001001,3337
1087,1001000010110,4630
1088,0110100010001,3345
1089,1000100010110,4374
1090,0110100100001,3361
1091,1000010010110,4246
1092,0110101000001,3393
1093,1000001010110,4182
1094,0110110000001,3457
1095,1000000110110,4150
1096,0111000000011,3587
1097,1100000001110,6158
1098,0111000000101,3589
1099,1010000001110,5134
1100,0111000001001,3593
1101,1001000001110,4622
1102,0111000010001,3601
1103,1000100001110,4366
1104,0111000100001,3617
1105,1000010001110,4238
1106,0111001000001,3649
1107,1000001001110,4174
1108,0111010000001,3713
1109,1000000101110,4142
1110,0111100000001,3841
1111,1000000011110,4126
1112,1000000001111,4111
1113,1111000000001,7681
1114,1000000010111,4119
1115,1110100000001,7425
1116,1000000011011,4123
1117,1101100000001,6913
1118,1000000011101,4125
1119,1011100000001,5889
1120,1000000100111,4135
1121,1110010000001,7297
1122,1000000101011,4139
1123,1101010000001,6785
1124,1000000101101,4141
1125,1011010000001,5761
1126,1000000110011,4147
1127,1100110000001,6529
1128,1000000110101,4149
1129,1010110000001,5505
1130,1000000111001,4153
1131,1001110000001,4993
1132,1000001000111,4167
1133,1110001000001,7233
1134,1000001001011,4171
1135,1101001000001,6721
1136,1000001001101,4173
1137,1011001000001,5697
1138,1000001010011,4179
1139,1100101000001,6465
1140,1000001010101,4181
1141,1010101000001,5441
1142,1000001011001,4185
1143,1001101000001,4929
1144,1000001100011,4195
1145,1100011000001,6337
1146,1000001100101,4197
1147,1010011000001,5313
1148,1000001101001,4201
1149,1001011000001,4801
1150,1000001110001,4209
1151,1000111000001,4545
1152,1000010000111,4231
1153,1110000100001,7201
1154,1000010001011,4235
1155,1101000100001,6689
1156,1000010001101,4237
1157,1011000100001,5665
1158,1000010010011,4243
1159,1100100100001,6433
1160,1000010010101,4245
1161,1010100100001,5409
1162,1000010011001,4249
1163,1001100100001,4897
1164,1000010100011,4259
1165,1100010100001,6305
1166,1000010100101,4261
1167,1010010100001,5281
1168,1000010101001,4265
1169,1001010100001,4769
1170,1000010110001,4273
1171,1000110100001,4513
1172,1000011000011,4291
1173,1100001100001,6241
1174,1000011000101,4293
1175,1010001100001,5217
1176,1000011001001,4297
1177,1001001100001,4705
1178,1000011010001,4305
1179,1000101100001,4449
1180,1000100000111,4359
1181,1110000010001,7185
1182,1000100001011,4363
1183,1101000010001,6673
1184,1000100001101,4365
1185,1011000010001,5649
1186,1000100010011,4371
1187,1100100010001,6417
1188,1000100010101,4373
1189,1010100010001,5393
1190,1000100011001,4377
1191,1001100010001,4881
1192,1000100100011,4387
1193,1100010010001,6289
1194,1000100100101,4389
1195,1010010010001,5265
1196,1000100101001,4393
1197,1001010010001,4753
1198,1000100110001,4401
1199,1000110010001,4497
1200,1000101000011,4419
1201,1100001010001,6225
1202,1000101000101,4421
1203,1010001010001,5201
1204,1000101001001,4425
1205,1001001010001,4689
1206,1000110000011,4483
1207,1100000110001,6193
1208,1000110000101,4485
1209,1010000110001,5169
1210,1000110001001,4489
1211,1001000110001,4657
1212,1001000000111,4615
1213,1110000001001,7177
1214,1001000001011,4619
1215,1101000001001,6665
1216,1001000001101,4621
1217,1011000001001,5641
1218,1001000010011,4627
1219,1100100001001,6409
1220,1001000010101,4629
1221,1010100001001,5385
1222,1001000011001,4633
1223,1001100001001,4873
1224,1001000100011,4643
1225,1100010001001,6281
1226,1001000100101,4645
1227,1010010001001,5257
1228,1001000101001,4649
1229,1001010001001,4745
1230,1001001000011,4675
1231,1100001001001,6217
1232,1001001000101,4677
1233,1010001001001,5193
1234,1001010000011,4739
1235,1100000101001,6185
1236,1001010000101,4741
1237,1010000101001,5161
1238,1001100000011,4867
1239,1100000011001,6169
1240,1001100000101,4869
1241,1010000011001,5145
1242,1010000000111,5127
1243,1110000000101,7173
1244,1010000001011,5131
1245,1101000000101,6661
1246,1010000001101,5133
1247,1011000000101,5637
1248,1010000010011,5139
1249,1100100000101,6405
1250,1010000010101,5141
1251,1010100000101,5381
1252,1010000100011,5155
1253,1100010000101,6277
1254,1010000100101,5157
1255,1010010000101,5253
1256,1010001000011,5187
1257,1100001000101,6213
1258,1010010000011,5251
1259,1100000100101,6181
1260,1010100000011,5379
1261,1100000010101,6165
1262,1011000000011,5635
1263,1100000001101,6157
1264,1100000000111,6151
1265,1110000000011,7171
1266,1100000001011,6155
1267,1101000000011,6659
